wave_id,payload_id,attack_type,seed_payload,mutated_payload,endpoint,status_code,blocked,matched_rule_id,timestamp
1,w1-sqli-01-1,sqli,' OR 1=1--, OR 1=1 --,/rest/user/login,401,False,,2026-08-09T19:03:01.929383+00:00
1,w1-sqli-01-2,sqli,' OR 1=1--, oR 1 = 1 --,/rest/user/login,401,False,,2026-08-09T19:03:01.944910+00:00
1,w1-sqli-01-3,sqli,' OR 1=1--,' OR 1=1 '-- ,/rest/user/login,500,False,,2026-08-09T19:03:01.963890+00:00
1,w1-sqli-01-4,sqli,' OR 1=1--,OR%20%31=%31-%2D- ,/rest/user/login,401,False,,2026-08-09T19:03:01.983768+00:00
1,w1-sqli-02-1,sqli,' OR '1'='1, OR `1`=`1`; -- UNION ALL SELECT * FROM information_schema.tables WHERE `table_schema`=database() AND `TABLE_NAME` LIKE '%vulnerability%';,/rest/user/login,403,True,949110,2026-08-09T19:03:02.000529+00:00
1,w1-sqli-02-2,sqli,' OR '1'='1,"'1'=(SELECT 0 FROM (SELECT 1) AS q WHERE '1'=UNHEX(BIN(ASCII('x')))),",/rest/user/login,403,True,949110,2026-08-09T19:03:02.005425+00:00
1,w1-sqli-02-3,sqli,' OR '1'='1, OR '1'=('1')/*' OR '1'='1 */,/rest/user/login,403,True,949110,2026-08-09T19:03:02.008752+00:00
1,w1-sqli-02-4,sqli,' OR '1'='1,' OR (SELECT COUNT(*) FROM information_schema.tables WHERE `TABLE_SCHEMA`=database())=1,/rest/user/login,403,True,949110,2026-08-09T19:03:02.011444+00:00
1,w1-sqli-03-1,sqli,admin@juice-sh.op'--,admIn@juIcE-sH.oP'--,/rest/user/login,403,True,949110,2026-08-09T19:03:02.014143+00:00
1,w1-sqli-03-2,sqli,admin@juice-sh.op'--,"admin""@juIce-Sh.Op'--",/rest/user/login,403,True,949110,2026-08-09T19:03:02.016690+00:00
1,w1-sqli-03-3,sqli,admin@juice-sh.op'--,@JuIcE-@AdMiN@@.CoM'--,/rest/user/login,403,True,949110,2026-08-09T19:03:02.019411+00:00
1,w1-sqli-03-4,sqli,admin@juice-sh.op'--,'@jUicE-sHaRiNg.'..aDmIn@juice-sh.op'--,/rest/user/login,403,True,949110,2026-08-09T19:03:02.022674+00:00
1,w1-sqli-04-1,sqli,') OR ('1'='1,"[""') OR ( '1'=&#x27;1"",""') OR (/*1*/1=1"",""') OR ('1''=''1"",""') OR (/**/1=1"")",/rest/user/login,403,True,949110,2026-08-09T19:03:02.025523+00:00
1,w1-sqli-04-2,sqli,') OR ('1'='1,"[""'); OR (', '1'=0x31',' OR ','1','=1'"",""""); OR ( ( 1 = '1 ' ) ; -- "","" ""); OR ( 1=UNHEX('31') )"",""') OR (1=CONVERT(0x31, SIGNED INTEGER) )",/rest/user/login,403,True,949110,2026-08-09T19:03:02.028032+00:00
